x,result
-5.0,-794124.5947226041
-4.9,-3.0379281361966E8
-4.800000000000001,-4.3540949055873228E12
-4.700000000000001,-7.627075572203577E22
-4.600000000000001,-2.0319534544857996E11
-4.500000000000002,-5.826700310589983E7
-4.400000000000002,-222667.07292547176
-4.3000000000000025,-1530.8921775036747
-4.200000000000003,8.223222137624711
-4.100000000000003,0.06722414781871172
-4.0000000000000036,1.3806329118286191
-3.9000000000000035,3.061729572722872
-3.8000000000000034,4.340846113330553
-3.7000000000000033,3.56815464456013
-3.600000000000003,-849.5018247460607
-3.500000000000003,-173510.22685092042
-3.400000000000003,-5.522602466095001E7
-3.300000000000003,-1.067156322691327E11
-3.200000000000003,-1.76289695021478944E17
-3.1000000000000028,-2.099264448028258E19
-3.0000000000000027,-5.576625348111213E11
-2.9000000000000026,-1.644615487244974E8
-2.8000000000000025,-431343.0747072081
-2.7000000000000024,-1900.207263786411
-2.6000000000000023,156.70375557525355
-2.500000000000002,153.6089424342245
-2.400000000000002,171.10402423538443
-2.300000000000002,229.09972486535762
-2.200000000000002,380.38759227383144
-2.100000000000002,823.7444608275342
-2.0000000000000018,1758.6137130300272
-1.9000000000000017,-85565.53986674521
-1.8000000000000016,-2.053281909871512E7
-1.7000000000000015,-3.580614463436798E10
-1.6000000000000014,-2.5649889138480343E18
-1.5000000000000013,-5.848787719728138E13
-1.4000000000000012,-1.0324885494502699E9
-1.3000000000000012,-1908667.4552033236
-1.200000000000001,-7061.425590759151
-1.100000000000001,1431.4777496910287
-1.0000000000000009,586.5916722445825
-0.9000000000000009,311.23950180300875
-0.8000000000000009,213.88788779213837
-0.700000000000001,182.24062071290297
-0.600000000000001,187.73025843172798
-0.500000000000001,145.49537708548752
-0.400000000000001,-18669.852885295175
-0.30000000000000104,-4460674.742338668
-0.20000000000000104,-3.1809897229327116E9
-0.10000000000000103,-8.537097712996417E13
-1.0269562977782698E-15,NaN
